fc_elyz_capex,shed_max,dispatch,algo,srand,ret,numevals,lcoe_opt,shed_rate_opt,capex,opex,xopt_sto,xopt_pv,xopt_wind,xopt_elyz,xopt_fc,xopt_hyTank
1600.0,1.0e-5,2,GN_ISRES,1,XTOL_REACHED,68648,0.39053932877150443,9.999998143824753e-6,2.9034551372679345e7,4.764624067780518e6,313.97,5705.3,1877.7,1835.98,1459.93,18806.87
1600.0,1.0e-5,2,GN_ISRES,2,XTOL_REACHED,65245,0.39062306904282734,9.999995848771103e-6,2.9035316592250578e7,4.761236460561588e6,316.8,5688.74,1877.7,1842.41,1459.76,18826.09
1600.0,1.0e-5,2,GN_ISRES,3,XTOL_REACHED,75041,0.39053885377241637,9.999932504503228e-6,2.904353543006135e7,4.773643273615218e6,324.83,5739.52,1877.7,1823.86,1456.73,18784.16
1600.0,1.0e-5,2,GN_ISRES,4,XTOL_REACHED,69922,0.3905324739643454,9.999993145026565e-6,2.9042520081297636e7,4.771169190819872e6,313.97,5734.01,1877.7,1825.76,1459.18,18789.06
1600.0,1.0e-5,2,GN_ISRES,5,XTOL_REACHED,72519,0.3905434760762253,9.999985413657832e-6,2.9043452218694232e7,4.774901160158258e6,333.31,5740.94,1877.7,1823.32,1454.9,18782.27
1600.0,1.0e-5,2,GN_ISRES,6,XTOL_REACHED,88361,0.3905177088319719,9.999995105488264e-6,2.9067748995461807e7,4.797517691263393e6,318.63,5845.65,1877.7,1788.69,1455.28,18699.68
1600.0,1.0e-5,2,GN_ISRES,7,XTOL_REACHED,70582,0.3905163300654979,9.999998219493376e-6,2.9068228586071577e7,4.79723625303125e6,314.59,5846.33,1877.7,1788.53,1456.12,18699.65
1600.0,1.0e-5,2,GN_ISRES,8,XTOL_REACHED,70321,0.3905691892331618,9.999972797237233e-6,2.9150199800224207e7,4.885991705123422e6,313.97,6236.6,1877.7,1676.25,1418.28,18408.62
1600.0,1.0e-5,2,GN_ISRES,9,XTOL_REACHED,67986,0.3906648501976315,9.999989516843642e-6,2.902577397987016e7,4.747869223634379e6,313.97,5631.09,1877.7,1863.58,1461.86,18872.74
1600.0,1.0e-5,2,GN_ISRES,10,XTOL_REACHED,72993,0.3906695782985601,9.999990259596879e-6,2.902315194844745e7,4.744534674822143e6,314.04,5616.48,1877.7,1868.69,1462.23,18884.95
1600.0,1.0e-5,2,LN_SBPLX,1,XTOL_REACHED,495,0.5927253914839742,0.003296340999988849,3.980495000000678e7,1.227032907864458e7,34140.0,17070.0,1877.7,0.0,0.0,0.0
1600.0,1.0e-5,2,LN_SBPLX,2,XTOL_REACHED,1085,0.6231178256186772,9.999999892035994e-6,4.3281295389161766e7,1.1200895812580973e7,23719.51,17069.39,1877.7,1644.03,1188.5,5169.93
1600.0,1.0e-5,2,LN_SBPLX,3,XTOL_REACHED,791,0.7772350625289762,9.999999995262418e-6,5.604033113006665e7,1.3339901147396572e7,34117.01,16295.66,1877.7,8423.79,735.52,5016.16
1600.0,1.0e-5,2,LN_SBPLX,4,XTOL_REACHED,1449,0.4465441282727218,9.999999831905037e-6,3.388900165873416e7,6.217355084836714e6,377.43,11219.06,1877.7,1118.16,1394.52,17721.04
1600.0,1.0e-5,2,LN_SBPLX,5,XTOL_REACHED,671,0.6274593132799852,9.999999995018692e-6,4.192401436613026e7,1.0195208714036379e7,34001.79,7679.34,1877.7,1996.41,2196.29,13418.28
1600.0,1.0e-5,2,LN_SBPLX,6,XTOL_REACHED,518,0.5927285814721794,0.003296340999988849,3.9805332948668145e7,1.2270362811501889e7,34140.0,17070.0,1877.7,0.0,0.24,0.0
1600.0,1.0e-5,2,LN_SBPLX,7,XTOL_REACHED,1214,0.5129714488544748,9.999999883094407e-6,3.538373231052639e7,7.221549373885643e6,17114.79,5484.62,1877.7,3363.25,1006.18,16845.41
1600.0,1.0e-5,2,LN_SBPLX,8,XTOL_REACHED,1540,0.5321734253405632,9.999999133195399e-6,3.925474034329629e7,7.797207983226313e6,6362.03,11818.68,1877.7,3703.68,2836.55,9990.64
1600.0,1.0e-5,2,LN_SBPLX,9,XTOL_REACHED,2885,0.5837390430473118,9.999999661689184e-6,4.202157127918364e7,9.589958600390783e6,16890.82,16746.65,1608.7,959.88,604.58,14120.9
1600.0,1.0e-5,2,LN_SBPLX,10,XTOL_REACHED,1515,0.6391376188152722,9.999999678503343e-6,4.3207036302466705e7,1.2388928975792902e7,33854.36,17070.0,1877.7,753.83,372.46,3390.51
1600.0,0.0001,1,GN_CRS2_LM,1,XTOL_REACHED,27045,0.34251550286581156,9.99999661400549e-5,2.6571303642619926e7,5.777344592336174e6,6859.76,6401.44,1877.7,1082.27,1463.27,10053.3
1600.0,0.0001,1,GN_CRS2_LM,2,XTOL_REACHED,18078,0.34282992247571437,9.999999390262161e-5,2.654127327756012e7,5.844872963878538e6,7236.97,6478.61,1877.7,1055.85,1437.34,9712.42
1600.0,0.0001,1,GN_CRS2_LM,3,XTOL_REACHED,53169,0.3422209011582382,9.999998480390507e-5,2.6432524571163442e7,5.758345053836563e6,8482.82,5544.5,1877.7,1032.48,1468.91,10835.36
1600.0,0.0001,1,GN_CRS2_LM,4,XTOL_REACHED,17783,0.3428299235563694,9.999997512011693e-5,2.654127376053133e7,5.844872715879455e6,7236.97,6478.61,1877.7,1055.85,1437.34,9712.43
1600.0,0.0001,1,GN_CRS2_LM,5,XTOL_REACHED,25340,0.34324190932753,9.999998134919077e-5,2.6443266426824033e7,5.558671328915637e6,9448.73,4375.23,1877.65,970.98,1486.16,13122.43
1600.0,0.0001,1,GN_CRS2_LM,6,XTOL_REACHED,50245,0.3427559214878833,9.999998780125265e-5,2.651872357937938e7,5.850051077198178e6,7430.55,6404.2,1877.7,1052.07,1433.1,9736.02
1600.0,0.0001,1,GN_CRS2_LM,7,XTOL_REACHED,24327,0.3425155021830496,9.999998199688317e-5,2.657130353809615e7,5.777344607160499e6,6859.76,6401.44,1877.7,1082.27,1463.27,10053.3
1600.0,0.0001,1,GN_CRS2_LM,8,XTOL_REACHED,40327,0.3425155018841113,9.999999897993232e-5,2.6571303539936237e7,5.777344588492634e6,6859.76,6401.44,1877.7,1082.27,1463.27,10053.3
1600.0,0.0001,1,GN_CRS2_LM,9,XTOL_REACHED,25819,0.3427914065793418,9.999999224131373e-5,2.6592368000413228e7,5.803628651243302e6,6858.53,6485.5,1877.7,1108.15,1457.03,9832.28
1600.0,0.0001,1,GN_CRS2_LM,10,XTOL_REACHED,22809,0.34254741094405505,9.999997935279011e-5,2.659599633662916e7,5.787119230311129e6,6859.76,6401.44,1877.7,1151.67,1463.27,9881.09
1600.0,0.0001,1,GN_ISRES,1,XTOL_REACHED,68260,0.34277828481195366,9.999996219757994e-5,2.6514011388276502e7,5.847411280717594e6,7430.51,6406.37,1877.7,1029.72,1432.39,9795.01
